target_lang|closest_lang_0|asp_dist_0|closest_lang_1|asp_dist_1|closest_lang_2|asp_dist_2|closest_lang_3|asp_dist_3|closest_lang_4|asp_dist_4
acf|hat|1.0|lat|0.649918889039299|zpu|0.6387498075981108|ztq|0.6387498075981108|zaa|0.6387498075981108
acr|ttc|1.0|agu|1.0|usp|1.0|mca|0.6880834784905226|toc|0.6177884311532988
acu|jiv|0.6490304176859918|kaq|0.6320962004403109|agr|0.6249179044202476|mcd|0.6087945704219361|hub|0.6087945704219361
afr|sus|0.5197059998922267|xon|0.5013153338515103|knf|0.5013153338515103|spp|0.4969215198413488|kdl|0.4936927480385105
agd|kmu|1.0|omw|1.0|tbg|1.0|snp|1.0|kyg|1.0
agg|byr|0.7070490546479773|bbb|0.6826574975798749|geb|0.6826574975798749|msy|0.6826574975798749|ata|0.6826574975798749
agn|sgb|0.7764385834168973|bpr|0.7699465438373843|tbl|0.7699465438373843|bps|0.7699465438373843|mqj|0.7101717605328106
agr|jiv|0.766637259264179|mcd|0.7062821075265902|hub|0.650198287718957|kwi|0.6421277887633251|acu|0.6249179044202476
agu|ttc|1.0|usp|1.0|acr|1.0|mca|0.6880834784905226|toc|0.6177884311532988
aia|far|1.0|kwf|1.0|lgl|1.0|bgt|1.0|nlg|1.0
ake|mbc|0.7039686707566417|pib|0.5930716772039519|tpt|0.5897579742069132|car|0.5825765225993018|cni|0.5722227732305794
alp|lex|0.7592124542932086|kje|0.7592124542932086|rgu|0.7592124542932086|txq|0.7592124542932086|llg|0.7592124542932086
ame|qvm|0.5520000636959456|qxo|0.5520000636959456|inb|0.5486940640684123|qvz|0.5486940640684123|qxn|0.533895817290686
amf|rug|0.503215306053671|lbb|0.503215306053671|rai|0.503215306053671|mkn|0.49869007907561747|nin|0.4974737045404437
amh|ind|0.4803026697560394|zsm|0.45098763797946584|ncu|0.44578746335898956|zlm|0.43498186513769077|deu|0.43229738558101294
amk|rug|0.7214424531492722|lbb|0.7214424531492722|rai|0.7214424531492722|urt|0.7128674137425872|nnq|0.7048327646991335
apb|far|1.0|kwf|1.0|aia|1.0|lgl|1.0|bgt|1.0
apr|mee|1.0|met|1.0|tbc|1.0|mbh|1.0|bzh|0.7951672353008665
arb|mdy|0.3982350088266752|zsm|0.3944890881484986|som|0.3937160013175143|zpu|0.37304178291019985|ztq|0.37304178291019985
arl|cpu|0.5023186148880188|qxh|0.4905862386872486|qub|0.4905862386872486|mbc|0.4905862386872486|tpt|0.48356379975673613
asm|bqp|0.5899855023266671|bba|0.5728460663663111|yor|0.5685261816445661|gng|0.562893152304518|mkl|0.558972821392822
ast|bos|0.5359318588404312|inb|0.5118936539027037|qvz|0.5118936539027037|bel|0.5043906204152853|glg|0.4842152396461581
ata|geb|1.0|msy|1.0|gai|1.0|byr|0.7532482855711504|agg|0.6826574975798749
atb|ycn|0.5930716772039519|suz|0.5759252287801109|urt|0.5640942168489749|jvn|0.5456289483429899|ncl|0.54458203655546
atg|ikk|0.6642217132148803|nin|0.6642217132148803|bus|0.6412790835950983|bnp|0.6319972577007299|kyq|0.6271410026453255
awb|kmu|1.0|omw|1.0|tbg|1.0|snp|1.0|kyg|1.0
azg|mit|1.0|xtm|1.0|mxb|1.0|mpm|1.0|mib|1.0
azj|chv|0.43462285588573246|mkd|0.42675843618766496|bos|0.4035985496210259|uzn|0.3960204197467654|hye|0.3784360081809739
azz|nhe|1.0|nhw|1.0|npl|1.0|ngu|1.0|tac|1.0
bao|sri|0.8718115663020504|tue|0.8718115663020504|cbc|0.8718115663020504|pir|0.8210876249779335|myy|0.8155795318237052
bba|bqp|0.7963899475856462|bqc|0.7671500844863611|yor|0.7494492897554039|tbz|0.7362285035461595|soy|0.7092771498018313
bbb|mcq|1.0|agg|0.6826574975798749|byr|0.677470562931982|geb|0.6555253429569556|msy|0.6555253429569556
bel|zpu|0.5990485480843836|ztq|0.5990485480843836|zaa|0.5990485480843836|zpo|0.5990485480843836|zpz|0.5990485480843836
bem|gux|0.710962179710979|lug|0.6730986343426241|seh|0.6730986343426241|nya|0.6730986343426241|kde|0.6642566907051244
ben|nko|0.4871394313396764|bnp|0.46549448478730593|snd|0.45720556134543877|yor|0.45367958180513246|pan|0.452186563801826
bfz|mjl|1.0|kfx|1.0|gbk|1.0|bhd|1.0|dgo|1.0
bgc|mjl|0.5667101317589407|kfx|0.5667101317589407|gbk|0.5667101317589407|bhd|0.5667101317589407|dgo|0.5667101317589407
bgt|far|1.0|kwf|1.0|aia|1.0|lgl|1.0|nlg|1.0
bhd|mjl|1.0|kfx|1.0|gbk|1.0|dgo|1.0|bfz|1.0
bjr|kmu|0.6081734479693928|omw|0.6081734479693928|tbg|0.6081734479693928|snp|0.6081734479693928|kyg|0.6081734479693928
bjv|kyq|1.0|lin|0.6555457792497269|rug|0.6545452182480774|lbb|0.6545452182480774|rai|0.6545452182480774
bjz|cof|0.5793637159200815|kyz|0.5463251811434657|yor|0.5363926602928004|myy|0.5362498824674657|gng|0.5342170440317605
bkd|obo|1.0|cgc|1.0|mbt|1.0|mbb|1.0|bpr|0.8027467759783701
blz|rug|0.6091971184191154|lbb|0.6091971184191154|rai|0.6091971184191154|mqj|0.5938770699620313|sgb|0.5938770699620313
bmr|hto|0.6582479744176504|zlm|0.5767244277497777|cbi|0.5693310984697799|mqj|0.556315873181121|nnq|0.556315873181121
bmu|dah|1.0|ksr|1.0|nca|1.0|mpp|1.0|iou|1.0
bnp|rug|0.766637259264179|lbb|0.766637259264179|rai|0.766637259264179|bzh|0.6928884033529037|alp|0.6403864397382493
boa|cpb|0.4998108675550128|cjo|0.45051561620682545|mcb|0.4380882975965965|cpu|0.43286156972573064|con|0.4321117016650666
boj|ipi|1.0|gam|1.0|kyc|1.0|imo|1.0|kue|1.0
bos|slv|0.6015061070301566|mkd|0.5845886251094137|ast|0.5359318588404312|bel|0.5240730214881415|bul|0.5077173593364196
box|yka|0.4176565496552771|bqc|0.4117132547289577|bus|0.4108804718126585|daa|0.40544544786307746|bba|0.40544544786307746
bpr|tbl|1.0|bps|1.0|bkd|0.8027467759783701|obo|0.8027467759783701|cgc|0.8027467759783701
bps|bpr|1.0|tbl|1.0|bkd|0.8027467759783701|obo|0.8027467759783701|cgc|0.8027467759783701
bqc|bus|0.8079982123333456|bqp|0.7997754539942328|bba|0.7671500844863611|soy|0.7099984579745958|yor|0.6621516215022717
bqp|bqc|0.7997754539942328|bba|0.7963899475856462|bus|0.7248206957096911|soy|0.6882038424046955|yor|0.6805386829106437
bss|knf|0.5776413383960937|yal|0.5729808821496937|mkn|0.5600157292879187|xon|0.5472327291392178|sus|0.5440825459006347
bul|mkd|0.5254568437687992|bos|0.5077173593364196|lit|0.4700205988428995|ron|0.4488618514873115|ukr|0.44522027245110973
bus|bqc|0.8079982123333456|soy|0.7844819369049643|bqp|0.7248206957096911|mkl|0.7054182974054203|bba|0.7009762377511881
byr|geb|0.7532482855711504|msy|0.7532482855711504|ata|0.7532482855711504|gai|0.7532482855711504|agg|0.7070490546479773
bzh|rug|0.805017770957863|lbb|0.805017770957863|rai|0.805017770957863|mee|0.7951672353008665|met|0.7951672353008665
bzj|lug|0.5865275817713198|gux|0.5564109665828024|kde|0.5564109665828024|tcs|0.5564109665828024|rop|0.5564109665828024
caa|knj|1.0|mop|0.7234402850233592|lac|0.7234402850233592|kek|0.5456289483429899|zos|0.5353314457762692
cab|gym|0.7554216999011223|sab|0.7554216999011223|tfr|0.7554216999011223|cuk|0.7554216999011223|guo|0.6998097420238862
cap|ttc|0.5435901842488609|agu|0.5435901842488609|usp|0.5435901842488609|acr|0.5435901842488609|mca|0.5212128048110709
car|cab|0.6826574975798749|cbt|0.6467963264772041|ycn|0.6340162445106861|tuf|0.6227661703218654|guo|0.6138184173040147
cat|glg|0.3782386047349541|daa|0.3761612756957835|mkd|0.3716947743224275|djk|0.34612090087870206|srn|0.34612090087870206
cax|gyr|0.7026055491471543|yad|0.6250598518732002|agr|0.5965534267098926|cbr|0.5778808334536555|urb|0.5754087699806867
cbc|sri|1.0|tue|1.0|pir|0.8743340836219975|bao|0.8718115663020504|myy|0.8718115663020504
cbi|inb|0.6278031838064023|qvz|0.6278031838064023|qvn|0.586112103149993|mqj|0.5694809971282778|nnq|0.5694809971282778
cbr|gum|0.6380716033422572|ign|0.6109738527548922|cax|0.5778808334536555|cab|0.5630183998395077|ese|0.5556411676013929
cbs|mcd|0.6348902180123432|jiv|0.6279760228107854|hub|0.5903344706017332|agr|0.5570215207482988|cof|0.5456289483429899
cbt|cab|0.6826574975798749|kaq|0.680994279960023|car|0.6467963264772041|jiv|0.6340162445106861|ign|0.6227661703218654
cbu|cni|0.5638994022189676|not|0.5194315026775992|kaq|0.5194315026775992|pib|0.5069114856777599|qxn|0.49868285188455364
cbv|mqj|0.5837225674716047|ptu|0.5837225674716047|bpr|0.5731830390924453|tbl|0.5731830390924453|bps|0.5731830390924453
cco|cnl|1.0|cpa|1.0|cnt|1.0|cuc|1.0|chz|1.0
ceb|bkd|0.5064965711423002|obo|0.5064965711423002|bpr|0.5064965711423002|cgc|0.5064965711423002|tbl|0.5064965711423002
cek|hlt|1.0|zyp|0.7315789722715857|heb|0.614230793560452|lao|0.6077300514356396|bqc|0.5908066676798838
ces|bel|0.5316241988249639|hun|0.5311040989790478|lvs|0.5066808454502201|lat|0.4947405100065242|kdl|0.4938285023661463
cgc|bkd|1.0|obo|1.0|mbt|1.0|mbb|1.0|bpr|0.8027467759783701
chf|iba|0.4234769611220738|udu|0.42103613900901793|bkd|0.41956937674483374|obo|0.41956937674483374|bpr|0.41956937674483374
chv|xng|0.4500594480824288|mkd|0.4473109333752401|bos|0.4466996209618863|azj|0.43462285588573246|slv|0.41790228398791596
chz|cnl|1.0|cpa|1.0|cnt|1.0|cuc|1.0|cco|1.0
cjo|cpb|0.773616364569609|cpu|0.7135991442493635|cni|0.6490304176859918|cot|0.6375208464252229|mcb|0.6375208464252229
cle|ncl|0.5632839308571875|zlm|0.5286226180700451|rug|0.5266220234341898|lbb|0.5266220234341898|rai|0.5266220234341898
cme|gng|0.7229113032973133|fon|0.6744822899100108|sus|0.6712233385476778|yor|0.6707659370673771|mcp|0.6293139983129818
cmn|hlt|0.4281743416705871|suz|0.4281743416705871|cek|0.4281743416705871|cui|0.4227508771960825|eng|0.41532377026876244
cni|cot|0.7222511160270013|not|0.712352142695411|mcb|0.6678093209133674|cjo|0.6490304176859918|pib|0.6380716033422572
cnl|cpa|1.0|cnt|1.0|cuc|1.0|cco|1.0|chz|1.0
cnt|cnl|1.0|cpa|1.0|cuc|1.0|cco|1.0|chz|1.0
cof|pir|0.6497521920537794|sri|0.6250598518732002|yad|0.6250598518732002|tue|0.6250598518732002|cbc|0.6250598518732002
con|gvc|0.5217817737527211|tuo|0.5059106027923769|inb|0.48162576566849535|qvz|0.48162576566849535|suz|0.4794405074974516
cot|cni|0.7222511160270013|mcb|0.7026055491471543|not|0.6497521920537794|cjo|0.6375208464252229|cpb|0.6147751101207866
cpa|cnl|1.0|cnt|1.0|cuc|1.0|cco|1.0|chz|1.0
cpb|cjo|0.773616364569609|cpu|0.7228028063493572|cni|0.6288880176828142|cot|0.6147751101207866|mcb|0.6147751101207866
cpu|cpb|0.7228028063493572|cjo|0.7135991442493635|cni|0.5761728716919652|cot|0.5702448952643795|mcb|0.5702448952643795
crn|nhe|1.0|nhw|1.0|npl|1.0|ngu|1.0|tac|1.0
cso|mbj|0.44255616170040235|hub|0.41644647014287783|far|0.4127596500881866|kwf|0.4127596500881866|aia|0.4127596500881866
ctu|mop|0.5398930876747681|lac|0.5398930876747681|cab|0.5325372328328793|ncl|0.5315327466002908|alp|0.5165430247013466
cuc|cnl|1.0|cpa|1.0|cnt|1.0|cco|1.0|chz|1.0
cui|ycn|0.5930716772039519|cab|0.5881378741128522|suz|0.5759252287801109|guo|0.5753675189315375|mqj|0.5592884960320119
cuk|gym|1.0|sab|1.0|tfr|1.0|cab|0.7554216999011223|cya|0.7214424531492722
cwe|kdc|1.0|ziw|1.0|ngp|1.0|ruf|1.0|vid|1.0
cya|pls|0.8073173021915583|maj|0.8073173021915583|vmy|0.8073173021915583|gym|0.7214424531492722|sab|0.7214424531492722
cym|qwh|0.4019746674489332|kdl|0.4007863183421817|eng|0.3969012099667413|dop|0.3888600550657807|tnk|0.3883412414192642
daa|agg|0.4989023775275744|yka|0.49868285188455364|tam|0.46119841941629536|luo|0.45595476796554313|ncu|0.45595476796554313
dah|bmu|1.0|ksr|1.0|nca|1.0|mpp|1.0|iou|1.0
dan|hlt|0.5274746095437963|cek|0.5274746095437963|lin|0.48862937167959675|lid|0.48260466825808856|alp|0.4803515251905549
ded|dah|1.0|bmu|1.0|ksr|1.0|nca|1.0|mpp|1.0
deu|ind|0.5830585999922981|muy|0.5362498824674655|zsm|0.4992942125343519|hlt|0.4935136129818737|cek|0.4935136129818737
dgo|mjl|1.0|kfx|1.0|gbk|1.0|bhd|1.0|bfz|1.0
dgr|gwi|1.0|hye|0.49604718250805735|maz|0.43941405557372015|nas|0.3870339435077389|quh|0.38423087143861234
dik|knf|0.4369793781542718|sus|0.43327829799288364|xon|0.4178927861839963|kik|0.41065802498611403|bss|0.3992373532149658
djk|srn|1.0|srm|1.0|tcs|0.8850358820489672|rop|0.8850358820489672|tpi|0.8850358820489672
dop|spy|0.6433954197813279|mcp|0.6045751761141709|bem|0.6029235086761071|knf|0.580561710386482|sus|0.5737196102475473
ekk|mit|0.4245912300193132|xtm|0.4245912300193132|mxb|0.4245912300193132|azg|0.4245912300193132|mpm|0.4245912300193132
ell|ast|0.4369172991337753|swh|0.373477931107445|grc|0.37306536491986375|mkd|0.35675009514384737|bos|0.3516155826849615
emp|noa|0.6356747368337659|cof|0.6013424367634724|sri|0.5786914053448544|yad|0.5786914053448544|tue|0.5786914053448544
eng|hlt|0.5042951662875406|cek|0.5042951662875406|luo|0.49697255054786604|ncu|0.49697255054786604|ind|0.4962594922187906
ese|nhe|0.6138184173040147|nhw|0.6138184173040147|npl|0.6138184173040147|ngu|0.6138184173040147|tac|0.6138184173040147
far|kwf|1.0|aia|1.0|lgl|1.0|bgt|1.0|nlg|1.0
fil|qvh|0.6055293111526527|poy|0.5845886251094137|seh|0.5845886251094137|nya|0.5845886251094137|knf|0.5845886251094137
fin|rro|0.3845943525619988|ekk|0.38375093095756485|jvn|0.3509145743790467|bpr|0.3509145743790467|tbl|0.3509145743790467
fon|gng|0.7705976227092861|yor|0.7468166888933647|mkl|0.6782775069793349|cme|0.6744822899100108|bqp|0.6666666666666666
fra|lin|0.5546131376664667|wmw|0.5163376206118186|ind|0.510703272087746|bqp|0.5051759986070117|acf|0.5051759986070117
gai|geb|1.0|msy|1.0|ata|1.0|byr|0.7532482855711504|agg|0.6826574975798749
gam|ipi|1.0|boj|1.0|kyc|1.0|imo|1.0|kue|1.0
gbk|mjl|1.0|kfx|1.0|bhd|1.0|dgo|1.0|bfz|1.0
geb|msy|1.0|ata|1.0|gai|1.0|byr|0.7532482855711504|agg|0.6826574975798749
gle|swe|0.23005345616261585|dop|0.20816026619502648|cym|0.20736583205491643|qwh|0.20483276469913347|kik|0.20420780925972226
glg|lat|0.492298202895907|ast|0.4842152396461581|luo|0.4825837395309973|lin|0.48092314608978626|pls|0.47465311702593327
glk|sdh|0.7266744666323557|djk|0.5159221332366604|srn|0.5159221332366604|srm|0.5159221332366604|tcs|0.5051342530476892
gng|yor|0.8161805556655698|fon|0.7705976227092861|cme|0.7229113032973133|tbz|0.7135258378760333|bba|0.6921154357193063
grc|zpu|0.5673062081224292|ztq|0.5673062081224292|zaa|0.5673062081224292|zpo|0.5673062081224292|zpz|0.5673062081224292
gub|lid|0.5328253435887585|urb|0.523705678410199|nhe|0.5212364096070796|nhw|0.5212364096070796|npl|0.5212364096070796
guh|cof|0.5986629185896859|sja|0.5965358661227277|sri|0.5789210732544634|yad|0.5789210732544634|tue|0.5789210732544634
guj|bgc|0.4101379308718236|cya|0.4024322756035916|snd|0.40178628114909665|pan|0.3944255017757936|lat|0.39105381375326964
gum|cbr|0.6380716033422572|quf|0.5881378741128522|ese|0.5753675189315375|nhe|0.5640942168489749|nhw|0.5640942168489749
guo|cab|0.6998097420238862|rug|0.6197602838151439|lbb|0.6197602838151439|rai|0.6197602838151439|alp|0.6197602838151439
gux|lug|0.8416471660162218|kde|0.8378605488662956|bem|0.710962179710979|qvh|0.7031749850412382|seh|0.6788401952959233
gvc|tuo|0.8831140567704601|pir|0.7620365107440709|sri|0.7322795271987699|tue|0.7322795271987699|cbc|0.7322795271987699
gwi|dgr|1.0|hye|0.49604718250805735|maz|0.43941405557372015|nas|0.3870339435077389|quh|0.38423087143861234
gym|sab|1.0|tfr|1.0|cuk|1.0|cab|0.7554216999011223|cya|0.7214424531492722
gyr|cax|0.7026055491471543|yad|0.6708835172149774|kyz|0.6555253429569554|sey|0.6555253429569554|snn|0.6292863483241349
hat|acf|1.0|lat|0.649918889039299|zpu|0.6387498075981108|ztq|0.6387498075981108|zaa|0.6387498075981108
hau|lug|0.5055347279777436|gux|0.5052184286110046|qwh|0.49918827992049375|qvh|0.49600951117298564|tee|0.48567288344963533
heb|hlt|0.614230793560452|cek|0.614230793560452|mxq|0.60632283680738|mco|0.60632283680738|bpr|0.5881378741128522
hin|urd|0.8440417392452616|bgc|0.4407463778964916|guj|0.3687637626435446|glk|0.36735440149693943|slv|0.33209019691651953
hlt|cek|1.0|zyp|0.7315789722715857|heb|0.614230793560452|lao|0.6077300514356396|bqc|0.5908066676798838
